drugname,rating,condition,class
ProCentra,10.0,ADHD,A
Desoxyn,9.588235294117647,ADHD,A
Zenzedi,9.571428571428571,ADHD,A
Methamphetamine,9.523809523809524,ADHD,A
Cylert,9.5,ADHD,A
Dyanavel XR,9.5,ADHD,A
Pemoline,9.5,ADHD,A
Dextroamphetamine,9.30232558139535,ADHD,A
Daytrana,9.236842105263158,ADHD,A
Methylin ER,9.222222222222221,ADHD,A
Adzenys XR-ODT,9.2,ADHD,A
Dexedrine,9.173076923076923,ADHD,A
Amphetamine,9.068965517241379,ADHD,A
Wellbutrin SR,9.040816326530612,ADHD,A
Amphetamine / dextroamphetamine,9.03834808259587,ADHD,A
Adderall XR,9.032967032967033,ADHD,A
Vyvanse,9.012084592145015,ADHD,A
Aptensio XR,9.0,ADHD,B
Mydayis,9.0,ADHD,B
Quillivant XR,9.0,ADHD,B
Ritalin LA,9.0,ADHD,B
Lisdexamfetamine,8.976878612716764,ADHD,B
Metadate CD,8.9375,ADHD,B
Concerta,8.920863309352518,ADHD,B
Intuniv,8.914893617021276,ADHD,B
Kapvay,8.9,ADHD,B
Focalin XR,8.875,ADHD,B
Ritalin,8.862068965517242,ADHD,B
Focalin,8.846153846153847,ADHD,B
Atomoxetine,8.808510638297872,ADHD,B
Dexmethylphenidate,8.802631578947368,ADHD,B
Guanfacine,8.76056338028169,ADHD,B
Catapres,8.75,ADHD,B
Strattera,8.697916666666666,ADHD,B
Evekeo,8.5,ADHD,B
Urecholine,9.0,Abdominal Distension,B
Tri-Lo-Marzia,10.0,Abnormal Uterine Bleeding,A
Aygestin,9.333333333333334,Abnormal Uterine Bleeding,A
Necon 1 / 35,9.153846153846153,Abnormal Uterine Bleeding,A
Provera,9.131578947368421,Abnormal Uterine Bleeding,A
Necon 1 / 50,9.0,Abnormal Uterine Bleeding,B
Mestranol / norethindrone,8.75,Abnormal Uterine Bleeding,B
Tri-Previfem,8.630434782608695,Abnormal Uterine Bleeding,B
Low-Ogestrel-21,8.0,Abnormal Uterine Bleeding,C
Cytotec,9.5,Abortion,A
Mifepristone,7.0,Abortion,C
Absorica,10.0,Acne,A
Adoxa,10.0,Acne,A
Avar,10.0,Acne,A
Avita,10.0,Acne,A
Benzoyl peroxide / hydrocortisone,10.0,Acne,A
Benzoyl peroxide / sulfur,10.0,Acne,A
Clindagel,10.0,Acne,A
Ery Pads,10.0,Acne,A
Fostex Medicated,10.0,Acne,A
Hexachlorophene,10.0,Acne,A
Norinyl 1+35,10.0,Acne,A
NuOx,10.0,Acne,A
Oxy-10,10.0,Acne,A
PanOxyl 10% Acne Foaming Wash,10.0,Acne,A
Pernox,10.0,Acne,A
Resorcinol / sulfur,10.0,Acne,A
Salicylic acid,10.0,Acne,A
Sulfur,10.0,Acne,A
PanOxyl,9.6,Acne,A
Zenatane,9.6,Acne,A
Onexton,9.583333333333334,Acne,A
Benzaclin,9.565217391304348,Acne,A
Benzoyl peroxide,9.55,Acne,A
Aldactone,9.444444444444445,Acne,A
Dapsone,9.442105263157895,Acne,A
Sulfacetamide sodium / sulfur,9.4,Acne,A
Accutane,9.388489208633093,Acne,A
Minocin,9.333333333333334,Acne,A
Ziana,9.333333333333334,Acne,A
Isotretinoin,9.286031042128602,Acne,A
Tazarotene,9.272727272727273,Acne,A
Aczone,9.24731182795699,Acne,A
Acanya,9.242424242424242,Acne,A
Monodox,9.210526315789474,Acne,A
Benzoyl peroxide / clindamycin,9.168316831683168,Acne,A
Atralin,9.166666666666666,Acne,A
Tretinoin,9.157360406091371,Acne,A
Differin,9.157142857142857,Acne,A
Retin-A,9.133333333333333,Acne,A
Adapalene,9.123076923076923,Acne,A
Spironolactone,9.11864406779661,Acne,A
Doryx,9.105263157894736,Acne,A
Tetracycline,9.0625,Acne,A
Clindamycin / tretinoin,9.055555555555555,Acne,A
Benzoyl peroxide / erythromycin,9.045454545454545,Acne,A
Adapalene / benzoyl peroxide,9.003401360544217,Acne,A
Altabax,9.0,Acne,B
BP Wash,9.0,Acne,B
Benzamycin,9.0,Acne,B
Duac,9.0,Acne,B
Fabior,9.0,Acne,B
Tretin-X,9.0,Acne,B
Yasmin,9.0,Acne,B
Epiduo,8.99645390070922,Acne,B
Solodyn,8.976744186046512,Acne,B
Claravis,8.962962962962964,Acne,B
Minocycline,8.95890410958904,Acne,B
Tri-Sprintec,8.956284153005464,Acne,B
Amnesteem,8.941176470588236,Acne,B
Veltin,8.923076923076923,Acne,B
